X1,Random_state,Optimal_Nfeat,Optimal_C,CV_AUC,CV_AUC_SD,Test_AUC,CV_AUC_lowCI,CV_AUC_highCI
0,757,30,0.30000000000000004,0.93,0.037118429085533484,0.9595959595959596,0.910004967403191,1.0
0,758,50,1.0,0.9452083333333332,0.04600158511761664,0.8922558922558922,0.7870601751365787,0.9974516093752059
0,759,20,1.5,0.9357291666666667,0.01734179480971397,0.9545454545454545,0.8973243152601117,1.0
0,760,20,8.0,0.9271874999999999,0.03675238559906313,0.8063973063973063,0.6657530589532062,0.9470415538414066
0,761,30,0.9000000000000001,0.915625,0.06625524088284974,0.925925925925926,0.8560979648125574,0.9957538870392947
0,762,25,0.08999999999999998,0.9197916666666668,0.04441948083642779,0.9781144781144782,0.9473527934791729,1.0
0,763,50,0.30000000000000004,0.9488541666666667,0.05919050282773413,0.9478114478114478,0.8898735956673395,1.0
0,764,25,0.1,0.9417708333333333,0.05358704302866093,0.9343434343434344,0.8669859218208849,1.0
0,765,45,0.30000000000000004,0.9231250000000001,0.0336985204093263,0.962962962962963,0.9143905556664148,1.0
0,766,45,0.08999999999999998,0.9567708333333333,0.040710380364772335,0.8754208754208754,0.7761037862578252,0.9747379645839257
0,767,20,0.1,0.9041666666666666,0.07601169500660923,0.8922558922558923,0.8079105257362492,0.9766012587755354
0,768,45,0.30000000000000004,0.9420833333333334,0.055969982034023286,0.8956228956228957,0.791368565800231,0.9998772254455606
0,769,40,0.30000000000000004,0.9071875,0.09521562699998354,0.9915824915824917,0.9758647496918122,1.0
0,770,30,0.30000000000000004,0.9217708333333334,0.04255358141997768,0.9461279461279462,0.8675713306464364,1.0
0,771,40,0.9000000000000001,0.9266666666666667,0.05201495511442409,0.9545454545454545,0.8975313970617895,1.0
0,772,40,0.7000000000000001,0.9354166666666666,0.05461354125936978,0.9141414141414141,0.8072377922493554,1.0
0,773,35,0.30000000000000004,0.9420833333333334,0.047074114141661995,0.9393939393939394,0.8791011256717887,0.9996867531160902
0,774,45,0.9000000000000001,0.9383333333333335,0.052334394893691925,0.9663299663299664,0.9201710688394453,1.0
0,775,20,0.08999999999999998,0.9574999999999999,0.026925824035672525,0.9444444444444444,0.8831266831425126,1.0
0,776,45,0.08999999999999998,0.9409375000000001,0.02500781127967819,0.9343434343434344,0.8719588426613251,0.9967280260255439
0,777,45,0.30000000000000004,0.9211458333333334,0.0071230504155328075,0.9393939393939394,0.8794516769673084,0.9993362018205705
0,778,50,1.5,0.9509375,0.05308249933934073,0.8501683501683501,0.7327776421746992,0.9675590581620015
0,779,30,1.5,0.9367708333333333,0.058928879568698925,0.9326599326599326,0.8379974144133835,1.0
0,780,40,0.5000000000000001,0.9265625000000002,0.03237221137711237,0.9427609427609428,0.8720715788040863,1.0
0,781,25,0.5000000000000001,0.9638541666666667,0.024410586558112655,0.8939393939393939,0.7847738519433474,1.0
0,782,20,0.06999999999999999,0.9167708333333333,0.0903025874029458,0.9276094276094276,0.8573759409923356,0.9978429142265199
0,783,30,2.0,0.9243750000000002,0.04185167260695802,0.9444444444444444,0.8887838712547246,1.0
0,784,20,0.1,0.9340624999999999,0.04640224566524529,0.9579124579124579,0.9119425545131354,1.0
0,785,50,0.9000000000000001,0.9637500000000001,0.0221892115928239,0.8265993265993266,0.7025824636937792,0.9506161895048739
0,786,25,1.5,0.9209375000000002,0.0579904356338181,0.9898989898989898,0.9724311117434328,1.0
0,787,40,0.7000000000000001,0.9177083333333333,0.06479803023412226,0.9377104377104376,0.8601204928025541,1.0
0,788,20,0.1,0.9235416666666667,0.05118220448120181,0.9663299663299663,0.9163346286119359,1.0
