,Random_state,CV_AUC,CV_AUC_SD,Test_AUC,Test_AUC_lCI,Test_AUC_uCI
0,531,0.708,0.153,0.761,0.6457816890992243,0.877089528353274
0,532,0.745,0.057,0.69,0.5582160369322324,0.8210943078953539
0,533,0.718,0.016,0.745,0.6258325865002637,0.8632596020993141
0,534,0.712,0.062,0.714,0.6003728108359243,0.8281986177355043
0,535,0.739,0.077,0.685,0.5595886049308018,0.8098695231480159
0,536,0.646,0.082,0.849,0.7588695281350496,0.9399341312597426
0,537,0.72,0.076,0.711,0.5858128526230979,0.8371287378061769
0,538,0.728,0.069,0.714,0.5885511501800924,0.8400202783913362
0,539,0.739,0.071,0.692,0.5684429234165176,0.8150898000176836
0,540,0.756,0.047,0.65,0.5178792528150833,0.7826133580223551
0,541,0.661,0.119,0.777,0.6684559078689725,0.8853794193653695
0,542,0.692,0.093,0.778,0.6680621432755809,0.8885881030298379
0,543,0.772,0.043,0.624,0.49211839089109105,0.7548907575958899
0,544,0.668,0.079,0.792,0.6720206214084448,0.9127788156077412
0,545,0.716,0.12,0.702,0.5753270853633161,0.8279100715684222
0,546,0.7,0.078,0.758,0.6442232654422031,0.8716106543326034
0,547,0.705,0.101,0.771,0.6622953729870215,0.8788728184274753
0,548,0.715,0.103,0.685,0.5612730178155411,0.809592569798815
0,549,0.734,0.083,0.681,0.555690698655412,0.8067301317457141
0,550,0.694,0.113,0.756,0.6414834907948331,0.8701280503733585
0,551,0.734,0.088,0.708,0.5758734539421979,0.8400308388093856
0,552,0.721,0.037,0.726,0.6083437810288054,0.844154459646775
0,553,0.718,0.038,0.727,0.6070641471291497,0.8468415530819692
0,554,0.716,0.07,0.753,0.6369394535016979,0.86904224952434
0,555,0.716,0.119,0.715,0.5941060632196375,0.8358728248873295
0,556,0.677,0.087,0.859,0.7763860485339006,0.942122044358429
0,557,0.723,0.082,0.702,0.581344320158562,0.8218928367731764
0,558,0.702,0.075,0.738,0.6231360109319375,0.8518815823122567
0,559,0.728,0.105,0.721,0.6005727254855707,0.8420732984412415
0,560,0.664,0.091,0.814,0.7126988779294907,0.9143243451528456
0,561,0.729,0.123,0.73,0.6084415460666401,0.8510939922866321
0,562,0.713,0.086,0.735,0.6224474291749613,0.8469403259270796
0,563,0.711,0.046,0.711,0.5886508881440256,0.8342907022852493
0,564,0.715,0.124,0.749,0.6322894473294831,0.8666549580188629
0,565,0.71,0.045,0.744,0.6316302222619836,0.8560545068020557
0,566,0.714,0.057,0.709,0.5803182959770261,0.8369934563100958
0,567,0.736,0.062,0.692,0.5636888784069313,0.8212513045628084
0,568,0.741,0.068,0.676,0.5459563404500576,0.8066122732023
0,569,0.698,0.039,0.78,0.6720497022780791,0.8888229226339546
0,570,0.72,0.071,0.72,0.601592111336461,0.8382389935192743
0,571,0.721,0.076,0.697,0.5717235620375516,0.8216613781454181
0,572,0.762,0.083,0.638,0.5110398604454203,0.7641184787523276
0,573,0.725,0.102,0.73,0.6142234056140514,0.8467195922747592
0,574,0.703,0.045,0.77,0.6547758166335257,0.8849849152454327
0,575,0.732,0.07,0.704,0.5800011359257952,0.8288658591480965
0,576,0.736,0.098,0.684,0.5606097856407494,0.8074408829025298
0,577,0.724,0.046,0.685,0.5544200354370203,0.8164455521773357
0,578,0.712,0.095,0.742,0.6189988892232215,0.8644634612342029
0,579,0.725,0.098,0.685,0.5540400990058174,0.8154180290730002
0,580,0.734,0.085,0.683,0.5552114772347024,0.8114317317730387
0,581,0.71,0.107,0.752,0.6368875002450571,0.8662792837099043
0,582,0.702,0.092,0.758,0.6465020075738406,0.869331912200966
0,583,0.714,0.133,0.706,0.583370985759305,0.8283109283856631
0,584,0.705,0.071,0.77,0.657962880824006,0.8817978510549523
0,585,0.705,0.049,0.724,0.6043918440119617,0.8438840180570039
0,586,0.705,0.062,0.772,0.654279420462342,0.8897036900232317
0,587,0.702,0.093,0.738,0.6194913325179351,0.8555262607262591
0,588,0.731,0.077,0.701,0.5741036932266048,0.8277260041695951
0,589,0.752,0.084,0.649,0.5199105628246897,0.777767128941672
0,590,0.73,0.086,0.729,0.6079917663305434,0.8501363124871908
0,591,0.694,0.121,0.752,0.6374257082725601,0.8657410756824013
0,592,0.761,0.058,0.635,0.5018341519231267,0.767694349132468
0,593,0.707,0.09,0.747,0.6340249998477506,0.8606970268939805
0,594,0.685,0.111,0.803,0.7053658844645249,0.900545445584736
0,595,0.707,0.034,0.735,0.6161592842632546,0.8546359303743247
0,596,0.695,0.042,0.802,0.7036242320105168,0.8994721789676676
0,597,0.73,0.114,0.707,0.5767607171545589,0.8377361160614861
0,598,0.694,0.059,0.796,0.6973090782730593,0.894527656420818
0,599,0.709,0.109,0.758,0.6456639037453697,0.8701700160294368
0,600,0.735,0.054,0.733,0.6075531739190964,0.8576122025763292
0,601,0.654,0.112,0.812,0.7135167991921271,0.9106915048191327
0,602,0.61,0.042,0.894,0.8143516366887364,0.9731219734449721
0,603,0.723,0.077,0.708,0.5855855000931064,0.8303187926584771
0,604,0.738,0.029,0.692,0.5600663531836743,0.8234663702505269
0,605,0.663,0.062,0.798,0.6943790627827855,0.9016800505177072
0,606,0.653,0.085,0.832,0.7239107788823183,0.9397063921240154
0,607,0.702,0.079,0.789,0.6825115717703981,0.8952505675680961
0,608,0.69,0.171,0.696,0.5700254004075681,0.8219520802398635
0,609,0.736,0.065,0.708,0.5829924360124079,0.8329118567391756
0,610,0.731,0.066,0.658,0.5270295581244606,0.7889451076038996
0,611,0.714,0.077,0.729,0.6097062574261306,0.8484218213916036
0,612,0.736,0.078,0.722,0.6054845922443826,0.8385688912179681
0,613,0.742,0.083,0.691,0.5704510790095599,0.8116741848891028
0,614,0.701,0.022,0.735,0.6141758263035344,0.8552119287985065
0,615,0.763,0.042,0.652,0.5173309496383561,0.7859765802701589
0,616,0.755,0.057,0.654,0.5288930864950199,0.7786368220201103
0,617,0.699,0.076,0.754,0.6413888786702763,0.8660002838913
0,618,0.718,0.085,0.707,0.5911832610264511,0.8233135721895939
0,619,0.754,0.072,0.638,0.5048461769990685,0.7717196217342178
0,620,0.682,0.142,0.81,0.7133126199439913,0.9066733054606532
0,621,0.761,0.113,0.624,0.4898653503562091,0.7571437981307718
0,622,0.694,0.084,0.762,0.6396674716989965,0.8846112052890402
0,623,0.741,0.105,0.677,0.5516585507248027,0.8023175224630928
0,624,0.742,0.061,0.66,0.528535082564711,0.7916619617702643
0,625,0.679,0.043,0.825,0.7284933058025137,0.9224567293839748
0,626,0.633,0.117,0.825,0.732685474211195,0.9168571014397551
0,627,0.74,0.098,0.69,0.5686787094752157,0.812039094887909
0,628,0.718,0.053,0.709,0.5867853780321385,0.8305263742549834
0,629,0.727,0.041,0.696,0.5722251975222075,0.8197522831252242
0,630,0.699,0.065,0.768,0.6626349012586215,0.8743109115492604
0,631,0.767,0.063,0.615,0.4797019410239216,0.7504176930365993
0,632,0.708,0.077,0.725,0.6020953973507125,0.847587924253791
0,633,0.709,0.047,0.739,0.6239634102049196,0.853869102110351
0,634,0.769,0.055,0.598,0.4673245982180979,0.7290160069895023
0,635,0.741,0.079,0.654,0.5276989466412149,0.7798309618739153
0,636,0.732,0.078,0.725,0.6116977968892545,0.837985524715249
0,637,0.724,0.053,0.718,0.5951985000027151,0.8404102262464053
0,638,0.733,0.077,0.678,0.5488010367598743,0.8065824959635597
0,639,0.745,0.017,0.664,0.528855258632301,0.7983790833803661
0,640,0.665,0.091,0.777,0.6687114273538343,0.8851238998805077
0,641,0.716,0.053,0.742,0.6295302963386896,0.8553395136542733
0,642,0.783,0.046,0.583,0.44675547150315764,0.7186210239225987
0,643,0.71,0.096,0.707,0.5861010285158519,0.8269883451646547
0,644,0.702,0.074,0.766,0.6576347323737096,0.8736812422920185
0,645,0.746,0.057,0.704,0.5842347722439647,0.824632222829927
0,646,0.782,0.082,0.555,0.42355219371905306,0.6869333798207075
0,647,0.686,0.076,0.78,0.670901756072536,0.8885634093039593
0,648,0.694,0.104,0.759,0.6446192968368173,0.8726220824735272
0,649,0.662,0.064,0.804,0.7004288403317005,0.9068899492530988
0,650,0.707,0.059,0.74,0.6268247537583561,0.852415218092453
0,651,0.668,0.113,0.781,0.6696541185097425,0.8926259659378296
0,652,0.744,0.065,0.627,0.4897183711924733,0.7643280749721995
0,653,0.699,0.069,0.778,0.6658189444645939,0.8908313018408249
0,654,0.685,0.063,0.778,0.67704076542023,0.8796094808851889
0,655,0.678,0.079,0.789,0.6831395630901497,0.8946225762483445
0,656,0.708,0.081,0.726,0.6088563717390545,0.8436418689365259
0,657,0.712,0.076,0.709,0.5821758678434439,0.835135884443678
0,658,0.701,0.057,0.73,0.6138671282885945,0.8456684100646777
0,659,0.699,0.097,0.752,0.6396291113281751,0.8649451321623243
0,660,0.725,0.052,0.734,0.617003677829195,0.8509766177373075
0,661,0.705,0.044,0.771,0.6643033891768308,0.8782722617732044
0,662,0.736,0.101,0.688,0.5573363809774676,0.819159044779042
0,663,0.687,0.084,0.761,0.6501030643278886,0.8727681531246098
0,664,0.687,0.038,0.787,0.6832319766836397,0.8903077840482392
0,665,0.695,0.051,0.702,0.5795074261549334,0.8251371903123433
0,666,0.71,0.108,0.712,0.5833464088013097,0.8410026411635035
0,667,0.727,0.103,0.725,0.6054249764918513,0.8442583451126522
0,668,0.685,0.139,0.756,0.6342136942791419,0.8773978468890498
0,669,0.725,0.077,0.711,0.5928197628574113,0.8287143680363255
0,670,0.71,0.088,0.779,0.673003881412202,0.8850538244287548
0,671,0.739,0.091,0.659,0.5268125858844463,0.7919769989149907
0,672,0.761,0.085,0.634,0.507181963280575,0.7609390782394814
0,673,0.712,0.084,0.684,0.5562247779014023,0.8118258906418768
0,674,0.727,0.097,0.728,0.6084588088269784,0.8482618104552173
0,675,0.728,0.114,0.695,0.5671802113320068,0.821982350244348
0,676,0.723,0.081,0.723,0.603428298736041,0.8420326442618481
0,677,0.739,0.07,0.686,0.5610036658644217,0.8112693812854725
0,678,0.709,0.054,0.728,0.6081032326857634,0.8472099270608939
0,679,0.709,0.067,0.738,0.6178628028120589,0.8571547904321354
0,680,0.72,0.075,0.662,0.5334884818871526,0.7909309410544378
0,681,0.706,0.073,0.72,0.5962522850177341,0.8435788198380012
0,682,0.675,0.074,0.779,0.6694574647840219,0.8886002410569349
0,683,0.707,0.071,0.785,0.6721923272820581,0.8971250548432058
0,684,0.716,0.085,0.748,0.6230777588379507,0.8730517274393189
0,685,0.769,0.089,0.658,0.532799149335514,0.7831755163928462
0,686,0.701,0.06,0.737,0.6130735520848303,0.8605365816238255
0,687,0.751,0.056,0.669,0.5341868700848642,0.8043071482121098
0,688,0.707,0.066,0.751,0.6329825828795901,0.8687767415398329
0,689,0.705,0.039,0.732,0.6150769359326272,0.8486809810272599
0,690,0.736,0.053,0.659,0.5271338640529293,0.7916557207465078
0,691,0.74,0.106,0.664,0.530858281571528,0.7963760604411391
0,692,0.753,0.062,0.644,0.5191247359368424,0.7687007390807507
0,693,0.727,0.083,0.683,0.5563277431843956,0.8103154658233456
0,694,0.743,0.103,0.653,0.5185893999337023,0.7875330490458894
0,695,0.751,0.063,0.654,0.5201912044930159,0.7873387040221143
0,696,0.712,0.118,0.719,0.6007750844455135,0.8362411013391449
0,697,0.677,0.11,0.776,0.6648300870454517,0.8875977806533518
0,698,0.719,0.079,0.708,0.5890104487643851,0.8268938439871983
0,699,0.744,0.099,0.669,0.5457661483707216,0.7927278699262524
0,700,0.717,0.093,0.695,0.5705746206676463,0.8199954004442469
0,701,0.697,0.099,0.763,0.6562965170160425,0.8693896195075322
0,702,0.742,0.063,0.639,0.5059189814321678,0.772054276836657
0,703,0.676,0.046,0.792,0.6863699550021842,0.8970220224784633
0,704,0.744,0.122,0.659,0.5294351009330542,0.7893544838663829
0,705,0.744,0.078,0.688,0.5584481861570723,0.8180472395994374
0,706,0.669,0.086,0.82,0.7261036161923768,0.9135867427098046
0,707,0.717,0.094,0.649,0.517591240444246,0.7800864513221157
0,708,0.741,0.077,0.687,0.5594466948419241,0.8142338118435086
0,709,0.72,0.107,0.735,0.6173981835044305,0.8533970311331488
0,710,0.708,0.071,0.696,0.5792788567386329,0.8126986239087988
0,711,0.758,0.044,0.653,0.5184835045276261,0.7876389444519656
0,712,0.731,0.077,0.676,0.5495678871728924,0.8030007264794652
0,713,0.702,0.035,0.778,0.6671430572225931,0.8880997295472872
0,714,0.734,0.06,0.707,0.5796183893407816,0.833470984339725
0,715,0.716,0.035,0.741,0.6264093302865237,0.8556455606353623
