,SVC,RF,LASSO,ADA,mean
455,0.345,0.321,0.007,0.007,0.16999999999999998
456,0.934,0.824,0.441,0.124,0.58075
457,0.353,0.376,0.002,0.04,0.19275
458,0.395,0.385,0.0,0.013,0.19825
459,0.016,0.562,0.0,0.011,0.14725000000000002
460,0.27,0.093,0.001,0.02,0.096
461,0.279,0.126,0.004,0.034,0.11075000000000002
462,0.61,0.336,0.012,0.003,0.24025
463,0.082,0.141,0.001,0.0,0.055999999999999994
464,0.026,0.38,0.0,0.048,0.1135
465,0.518,0.287,0.047,0.066,0.22949999999999998
466,0.899,0.592,0.106,0.021,0.4045
467,0.376,0.391,0.139,0.08,0.2465
468,0.211,0.101,0.0,0.022,0.0835
469,0.521,0.256,0.007,0.028,0.203
470,0.221,0.17,0.002,0.157,0.1375
471,0.063,0.05,0.0,0.015,0.032
472,0.354,0.352,0.009,0.094,0.20224999999999999
473,0.003,0.102,0.0,0.006,0.02775
474,0.993,0.55,0.916,0.245,0.676
475,0.514,0.426,0.025,0.013,0.2445
476,0.063,0.1,0.0,0.012,0.043750000000000004
477,0.572,0.236,0.038,0.027,0.21825
478,0.052,0.378,0.007,0.037,0.1185
479,0.103,0.895,0.0,0.571,0.39225
480,0.376,0.497,0.136,0.128,0.28425
481,0.404,0.208,0.037,0.022,0.16775
482,0.001,0.196,0.014,0.007,0.05450000000000001
483,0.305,0.431,0.194,0.035,0.24125
484,0.207,0.0,0.003,0.0,0.0525
485,0.137,0.003,0.0,0.0,0.035
486,0.074,0.136,0.0,0.006,0.054000000000000006
487,0.001,0.089,0.009,0.006,0.02625
488,0.18,0.159,0.018,0.033,0.0975
489,0.0,0.099,0.002,0.015,0.029
490,0.082,0.119,0.0,0.027,0.057
491,0.001,0.084,0.007,0.012,0.026000000000000002
492,0.237,0.122,0.001,0.009,0.09225
493,0.213,0.07,0.001,0.007,0.07275000000000001
494,0.562,0.103,0.019,0.034,0.17950000000000002
495,0.15,0.063,0.005,0.052,0.0675
496,0.867,0.332,0.087,0.063,0.33725
497,0.7,0.167,0.0,0.012,0.21975
498,0.384,0.065,0.025,0.06,0.1335
